site,year,AirTC_mean,AirTC_max,AirTC_min,ibTC_mean,ibTC_max,ibTC_min
DRO,2018,23.66285198938213,35.028790084561486,17.98780306452055,23.03184394652717,35.5355,17.552500000000002
DRO,2019,24.132846855020663,32.013534416431845,15.343829122259107,23.410723292550248,30.86429317503308,16.04350115202503
DRO,2020,24.681685933847106,33.93953169095772,18.345626612373277,23.95167742306678,32.68016254682323,17.977911929269748
DRO,2021,24.674390361086395,31.174999999999997,19.325,23.94479900880262,30.073705885980264,18.90128506258611
DRO,2022,25.982625348189416,32.6375,18.804166666666653,25.178229541444185,31.452580607854863,18.410232811206253
HQ_AWC,2018,22.54763968168537,39.23833333333333,9.428333333333333,23.534469026859473,45.93,6.86320136946819
HQ_AWC,2019,22.833715554727842,39.333333333333336,0.6366666666666667,24.31277662887331,47.39803580467979,4
HQ_AWC,2020,23.823986859660188,38.24666666666667,1.9466666666666668,25.57236117624433,45.867269640752,4
HQ_AWC,2021,23.877966799847794,37.78333333333333,7.736666666666666,25.626761735080674,45.21458100030425,4
HQ_AWC,2022,24.442435426690302,36.235,9.316666666666666,26.42151801388918,43.033473996793624,5.114142227471701
MLES,2018,18.640694437807888,34.30333333333333,10.51973792556089,19.313324659151725,36.396,10.395597558321006
MLES,2019,18.592001127053752,32.76166666666667,10.446666666666667,19.29102317773438,34.874095739075614,10.041875
MLES,2020,19.0372003125097,32.22666666666667,9.333333333333332,19.7695457428707,34.28529803726027,9.089892329672866
MLES,2021,18.779984684170472,31.901666666666664,10.711666666666666,19.48646542354897,33.927617190363094,10.606825972667536
MLES,2022,20.127420910626387,32.155,11.603818115106437,20.96939505622183,34.206424824867554,11.588689005401305
MLRF,2018,17.962513933080025,33.66666666666667,9.0238676687156,17.950229070902118,30.7855,10.715128001917412
MLRF,2019,18.30682248069851,31.2125,6.931666666666667,18.142272553591155,28.54184643055904,9.034218714549484
MLRF,2020,18.877941766938143,30.531666666666663,8.28970177789592,18.63205599014261,27.99485354028276,10.12528684270804
MLRF,2021,18.833524584610004,28.576666666666668,10.476666666666668,18.59637048276499,26.42417383332054,11.882331022059
MLRF,2022,19.50915788637547,25.82245552697583,10.266861404657837,19.13918558068361,24.21139452600509,11.71376996453922
PNW,2018,23.838648112164222,40.45889065867199,11.385943827677814,25.771119363484033,50.78050097978432,6.99854443785946
PNW,2019,24.201703451828912,40.36847720964679,6.108333333333333,26.29092232273681,50.64434423863807,4
PNW,2020,25.044961850033644,40.408660964769105,10.371304010839385,27.568132272781448,50.70485834581419,5.470563231662355
PNW,2021,25.130043763470862,38.36333333333333,10.405,27.696260070017356,47.624728698342295,5.521307187603365
PNW,2022,25.275780577361356,35.25,11.14,27.915730180474476,42.93625231193036,6.628169118228456
STCK,2018,22.52109858657764,39.31666666666666,11.693257835648843,23.561795729581732,44.7805,8.975005142685426
STCK,2019,22.62801361298189,39.468333333333334,8.201666666666666,24.148655446241758,47.10831879056913,4.181284917223637
STCK,2020,23.381433477811086,37.95,8.721666666666668,25.0220854745205,45.02374907529099,4.8952100008315185
STCK,2021,23.625137557077625,37.736666666666665,11.058333333333334,25.356674811378088,44.73085673329801,8.103296434223328
STCK,2022,25.279234287487736,36.30833333333334,13.19538675108484,27.627638554750312,42.769850974798175,11.037327280267071
